idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
827	58.9388	44.1087	52.1531	7.0	-0.09902272	-0.09921739	-0.00019467
828	70.7185	34.6088	53.0324	8.0	-0.09320658	-0.09223838	0.00096820
829	58.8261	21.9494	56.0944	8.0	-0.08677563	-0.08648315	0.00029248
830	54.1120	34.8815	45.5850	7.0	-0.08998365	-0.08958620	0.00039745
831	55.7970	23.7356	59.4323	7.0	-0.08756397	-0.08814508	-0.00058111
832	58.9751	42.1948	55.3532	4.0	-0.13512268	-0.13559965	-0.00047698
833	52.9048	44.3089	55.1254	8.0	-0.08990016	-0.09029426	-0.00039410
834	60.0025	24.0313	55.3881	6.0	-0.10637742	-0.10559014	0.00078727
835	59.7410	27.9575	56.4992	2.0	-0.16647961	-0.16611946	0.00036014
836	54.6428	41.8249	58.3984	5.0	-0.12086348	-0.12147259	-0.00060910
837	52.8891	36.8596	58.9510	3.0	-0.14853529	-0.14995180	-0.00141651
838	67.7760	27.6517	47.7074	8.0	-0.08525217	-0.08359348	0.00165869
839	49.7827	38.5404	49.6679	8.0	-0.08550759	-0.08578472	-0.00027713
840	63.5183	38.5310	62.8356	6.0	-0.11005940	-0.11112590	-0.00106650
841	56.8399	34.1240	67.2718	8.0	-0.08776949	-0.08915776	-0.00138827
842	61.4584	39.1256	55.9424	2.0	-0.18959676	-0.19103494	-0.00143817
843	50.4008	33.6273	63.6574	8.0	-0.08720131	-0.08840259	-0.00120128
844	61.9527	44.0180	61.9555	8.0	-0.08889569	-0.08941810	-0.00052241
845	61.2201	23.1846	50.0531	8.0	-0.08882663	-0.08744663	0.00138000
846	52.2224	30.0939	58.9326	4.0	-0.10977841	-0.11137306	-0.00159466
847	62.3730	28.0387	59.6864	4.0	-0.13503632	-0.13593943	-0.00090311
848	63.5927	41.5718	49.5021	8.0	-0.09690073	-0.09662164	0.00027909
849	55.8664	35.2429	63.7182	5.0	-0.11988802	-0.12233711	-0.00244909
850	60.1697	24.6434	61.3525	7.0	-0.09364362	-0.09428455	-0.00064093
851	53.3680	22.7136	55.8933	8.0	-0.07940956	-0.07957952	-0.00016996
852	68.1118	34.9258	60.6104	7.0	-0.10345531	-0.10369514	-0.00023983
853	54.7641	24.3317	49.5240	8.0	-0.08449541	-0.08391749	0.00057792
854	67.0172	27.5507	62.3536	8.0	-0.08852523	-0.08865917	-0.00013393
855	51.7727	36.8342	65.0076	8.0	-0.08675434	-0.08784423	-0.00108988
856	64.6685	39.6006	64.1522	8.0	-0.09131653	-0.09203865	-0.00072212
857	52.7611	35.7127	65.6079	8.0	-0.08819365	-0.08944301	-0.00124935
858	50.1087	36.5449	62.1835	7.0	-0.09283963	-0.09389546	-0.00105583
859	47.1705	28.1058	57.5384	8.0	-0.07398553	-0.07450578	-0.00052025
860	65.0263	41.0580	55.6513	6.0	-0.11405743	-0.11430645	-0.00024902
861	52.1962	28.6823	50.3760	5.0	-0.09810391	-0.09811769	-0.00001378
862	59.1452	34.3560	63.2888	4.0	-0.13343385	-0.13661893	-0.00318508
863	60.7051	27.8037	60.1663	4.0	-0.13004125	-0.13171679	-0.00167554
864	55.6263	23.2095	51.8053	8.0	-0.08627526	-0.08578349	0.00049177
865	57.8535	41.5874	47.3947	8.0	-0.09095429	-0.09082942	0.00012487
866	60.2504	28.9807	52.3994	2.0	-0.19163213	-0.18416678	0.00746535
867	53.6545	30.4054	50.8942	3.0	-0.12350890	-0.12375857	-0.00024967
868	61.4006	36.2751	51.6492	2.0	-0.18154352	-0.18091961	0.00062391
869	62.5703	36.9791	48.5588	5.0	-0.12258833	-0.12140964	0.00117870
870	61.6506	27.6330	52.7337	3.0	-0.16064212	-0.15543071	0.00521141
871	71.2119	30.7693	54.6069	8.0	-0.09002497	-0.08897174	0.00105324
872	51.0969	43.3529	55.8651	8.0	-0.08769922	-0.08814641	-0.00044719
873	56.4851	39.4150	57.1238	2.0	-0.20385814	-0.20399070	-0.00013256
874	53.6798	27.1517	55.3811	4.0	-0.10848449	-0.10926432	-0.00077984
875	66.0526	31.6363	57.0404	3.0	-0.15799541	-0.15631191	0.00168350
876	64.4641	29.7002	49.3424	4.0	-0.12911493	-0.12486665	0.00424828
