global_idx	min_dist	q
6505	3.714	+0.0062
11195	4.218	+0.0126
4011	4.092	+0.0253
7124	3.076	+0.0646
3211	4.170	-0.0576
3863	3.504	-0.0500
8679	3.641	+0.0176
12562	3.578	-0.0584
8029	3.686	-0.0103
9883	4.553	+0.0360
5358	4.713	-0.0257
6648	4.844	-0.0276
8511	4.485	+0.0670
7860	4.521	+0.0316
4053	3.934	+0.0383
4595	3.929	+0.0236
3186	4.010	-0.0668
12519	3.753	-0.0390
5264	4.148	-0.0122
9972	3.578	+0.0595
10657	3.606	+0.0241
10571	3.988	-0.0102
4575	3.656	+0.0471
4551	3.395	+0.0567
6735	3.960	-0.0437
11867	3.716	-0.0272
3216	4.170	+0.0459
6041	4.541	-0.0468
11274	3.725	-0.0227
5203	2.943	+0.0602
5894	4.112	-0.0310
9723	3.102	+0.0149
8477	4.395	-0.0085
7826	4.432	-0.0338
5226	3.615	+0.0435
3189	3.924	+0.0284
11251	3.262	-0.0062
10660	3.239	+0.1065
11142	4.105	+0.0949
3945	4.360	+0.0280
4721	4.397	-0.0079
5984	3.584	+0.0036
5874	3.852	-0.0065
9111	4.194	-0.0398
11907	3.786	-0.0268
3351	3.705	+0.0879
6482	2.647	+0.0884
7166	4.314	-0.0646
4613	3.682	-0.1030
3321	3.853	+0.0655
3862	3.487	-0.0953
4073	3.916	+0.0513
9833	4.632	+0.1120
5303	4.749	-0.0183
3352	3.705	+0.0856
8439	4.419	-0.0792
7789	4.306	-0.0713
6595	4.805	-0.0107
8418	3.923	-0.0359
9332	3.729	+0.0501
7768	3.724	-0.0076
5965	3.908	+0.0169
7387	3.860	-0.0233
12402	3.398	-0.0216
9934	4.110	-0.0136
9163	4.557	+0.0902
3865	3.578	+0.0334
6700	4.307	-0.0564
3264	4.135	+0.0127
3887	3.741	-0.1375
8699	3.603	+0.0168
3326	3.854	+0.0624
10609	3.341	-0.0239
9722	3.063	+0.0376
8610	4.357	-0.0309
3237	4.268	-0.0232
7959	4.395	-0.0399
11277	3.294	+0.0625
9129	4.469	+0.0196
11213	4.106	-0.0053
4033	4.193	+0.0211
11930	3.952	-0.0294
7184	4.578	-0.0436
3350	3.822	+0.0768
12422	3.169	-0.0011
5281	3.579	-0.0642
5204	3.400	+0.0694
11958	3.196	+0.0380
5430	4.453	-0.0193
9901	4.545	+0.0048
5377	4.800	-0.0282
9724	3.582	-0.0427
11959	3.063	+0.0668
11909	3.291	+0.0220
6665	4.765	-0.0365
9091	4.098	-0.0703
6483	3.147	+0.0706
9070	3.942	-0.0520
11886	3.476	-0.0039
11254	3.592	+0.0143
3913	4.032	-0.1079
12588	3.193	-0.0037
7147	4.186	-0.0479
3292	4.117	+0.0339
7125	3.652	+0.0212
3353	3.835	+0.0724
3271	4.135	+0.0444
12589	3.059	+0.0191
4617	4.412	+0.0033
3894	3.953	+0.0399
5412	4.635	-0.0286
9993	3.754	-0.0289
3185	4.274	-0.0823
9357	3.842	+0.0186
10656	3.975	-0.0025
10451	4.056	+0.0814
5946	3.981	+0.0050
10631	3.911	-0.0288
10520	4.705	+0.0598
3244	4.269	+0.0415
9358	4.006	+0.0351
11298	4.077	-0.0186
5913	4.576	-0.0295
11933	3.124	+0.0659
5988	5.236	-0.0209
8700	3.904	+0.0226
8660	3.919	-0.0181
8048	3.627	+0.0049
8010	3.961	-0.0355
9262	4.431	-0.0192
