idx	x	y	z	min_dist	nearest_el	V_R	V_TS	Dv
177	56.2108	23.7430	57.5110	8.110	H	-0.09279402	-0.09310652	-0.00031250
178	56.2108	23.7430	58.2110	8.216	H	-0.09148800	-0.09190740	-0.00041940
179	56.2108	23.7430	58.9110	8.380	H	-0.08994971	-0.09046111	-0.00051139
180	56.2108	23.7430	59.6110	8.597	H	-0.08821537	-0.08880216	-0.00058679
181	56.2108	23.7430	60.3110	8.864	H	-0.08632087	-0.08696580	-0.00064493
182	56.9108	23.7430	52.6110	8.808	H	-0.09507065	-0.09439252	0.00067813
183	56.9108	23.7430	53.3110	8.526	H	-0.09617249	-0.09559872	0.00057377
184	56.9108	23.7430	54.0110	8.293	H	-0.09689705	-0.09644543	0.00045162
185	56.9108	23.7430	54.7110	8.114	H	-0.09722754	-0.09691148	0.00031606
186	56.9108	23.7430	55.4110	7.992	H	-0.09716264	-0.09699012	0.00017252
187	56.9108	23.7430	56.1110	7.930	H	-0.09671548	-0.09668858	0.00002690
188	56.9108	23.7430	56.8110	7.930	H	-0.09591103	-0.09602605	-0.00011502
189	56.9108	23.7430	57.5110	7.992	H	-0.09478272	-0.09503076	-0.00024803
190	56.9108	23.7430	58.2110	8.114	H	-0.09336916	-0.09373699	-0.00036783
191	56.9108	23.7430	58.9110	8.293	H	-0.09171135	-0.09218253	-0.00047118
192	56.9108	23.7430	59.6110	8.526	H	-0.08985073	-0.09040686	-0.00055613
193	56.9108	23.7430	60.3110	8.809	H	-0.08782782	-0.08844979	-0.00062198
194	57.6108	23.7430	51.9110	8.966	H	-0.09537110	-0.09446282	0.00090829
195	57.6108	23.7430	52.6110	8.631	H	-0.09690968	-0.09608393	0.00082575
196	57.6108	23.7430	53.3110	8.343	H	-0.09808246	-0.09736330	0.00071916
197	57.6108	23.7430	54.0110	8.105	H	-0.09885365	-0.09826233	0.00059132
198	57.6108	23.7430	54.7110	7.921	H	-0.09920315	-0.09875625	0.00044690
199	57.6108	23.7430	55.4110	7.797	H	-0.09912803	-0.09883608	0.00029195
200	57.6108	23.7430	56.1110	7.733	H	-0.09864182	-0.09850863	0.00013319
201	57.6108	23.7430	56.8110	7.733	H	-0.09777190	-0.09779457	-0.00002267
202	57.6108	23.7430	57.5110	7.797	H	-0.09655589	-0.09672542	-0.00016953
203	57.6108	23.7430	58.2110	7.921	H	-0.09503769	-0.09534001	-0.00030232
204	57.6108	23.7430	58.9110	8.105	H	-0.09326404	-0.09368134	-0.00041730
205	57.6108	23.7430	59.6110	8.343	H	-0.09128186	-0.09179408	-0.00051222
206	57.6108	23.7430	60.3110	8.632	H	-0.08913644	-0.08972277	-0.00058633
207	57.6108	23.7430	61.0110	8.966	H	-0.08687016	-0.08751040	-0.00064024
208	58.3108	23.7430	51.9110	8.847	H	-0.09685248	-0.09579585	0.00105663
209	58.3108	23.7430	52.6110	8.509	H	-0.09847470	-0.09749803	0.00097667
210	58.3108	23.7430	53.3110	8.216	H	-0.09971351	-0.09884420	0.00086931
211	58.3108	23.7430	54.0110	7.974	H	-0.10052868	-0.09979141	0.00073727
212	58.3108	23.7430	54.7110	7.787	H	-0.10089669	-0.10031124	0.00058546
213	58.3108	23.7430	55.4110	7.660	H	-0.10081277	-0.10039231	0.00042046
214	58.3108	23.7430	56.1110	7.596	H	-0.10029052	-0.10004075	0.00024977
215	58.3108	23.7430	56.8110	7.596	H	-0.09935952	-0.09927855	0.00008098
216	58.3108	23.7430	57.5110	7.660	H	-0.09806142	-0.09814037	-0.00007895
217	58.3108	23.7430	58.2110	7.787	H	-0.09644538	-0.09666959	-0.00022421
218	58.3108	23.7430	58.9110	7.974	H	-0.09456390	-0.09491446	-0.00035056
219	58.3108	23.7430	59.6110	8.216	H	-0.09246940	-0.09292488	-0.00045548
220	58.3108	23.7430	60.3110	8.509	H	-0.09021190	-0.09075003	-0.00053812
221	58.3108	23.7430	61.0110	8.848	H	-0.08783743	-0.08843661	-0.00059918
222	59.0108	23.7430	51.2110	8.997	O	-0.09598185	-0.09473520	0.00124666
223	59.0108	23.7430	51.9110	8.784	H	-0.09801708	-0.09681618	0.00120090
224	59.0108	23.7430	52.6110	8.442	H	-0.09971188	-0.09858720	0.00112469
225	59.0108	23.7430	53.3110	8.147	H	-0.10100864	-0.09999064	0.00101800
226	59.0108	23.7430	54.0110	7.903	H	-0.10186293	-0.10097950	0.00088342
227	59.0108	23.7430	54.7110	7.715	H	-0.10224789	-0.10152185	0.00072604
228	59.0108	23.7430	55.4110	7.587	H	-0.10215675	-0.10160386	0.00055289
229	59.0108	23.7430	56.1110	7.522	H	-0.10160297	-0.10123084	0.00037213
230	59.0108	23.7430	56.8110	7.522	H	-0.10061798	-0.10042583	0.00019215
231	59.0108	23.7430	57.5110	7.587	H	-0.09924710	-0.09922643	0.00002066
232	59.0108	23.7430	58.2110	7.715	H	-0.09754447	-0.09768035	-0.00013588
233	59.0108	23.7430	58.9110	7.903	H	-0.09556806	-0.09584084	-0.00027278
234	59.0108	23.7430	59.6110	8.147	H	-0.09337554	-0.09376277	-0.00038723
235	59.0108	23.7430	60.3110	8.443	H	-0.09102133	-0.09149967	-0.00047834
236	59.0108	23.7430	61.0110	8.784	H	-0.08855477	-0.08910157	-0.00054679
237	59.7108	23.7430	51.2110	8.825	O	-0.09671783	-0.09534440	0.00137344
238	59.7108	23.7430	51.9110	8.682	O	-0.09881757	-0.09748296	0.00133461
239	59.7108	23.7430	52.6110	8.434	H	-0.10056978	-0.09930670	0.00126308
240	59.7108	23.7430	53.3110	8.138	H	-0.10191302	-0.10075457	0.00115845
241	59.7108	23.7430	54.0110	7.894	H	-0.10279919	-0.10177605	0.00102313
242	59.7108	23.7430	54.7110	7.705	H	-0.10319838	-0.10233606	0.00086232
243	59.7108	23.7430	55.4110	7.577	H	-0.10310186	-0.10241847	0.00068339
244	59.7108	23.7430	56.1110	7.512	H	-0.10252270	-0.10202766	0.00049504
245	59.7108	23.7430	56.8110	7.512	H	-0.10149375	-0.10118750	0.00030625
246	59.7108	23.7430	57.5110	7.577	H	-0.10006347	-0.09993809	0.00012538
247	59.7108	23.7430	58.2110	7.706	H	-0.09829034	-0.09833096	-0.00004062
248	59.7108	23.7430	58.9110	7.894	H	-0.09623716	-0.09642382	-0.00018665
249	59.7108	23.7430	59.6110	8.139	H	-0.09396623	-0.09427595	-0.00030972
250	59.7108	23.7430	60.3110	8.434	H	-0.09153577	-0.09194457	-0.00040880
251	59.7108	23.7430	61.0110	8.776	H	-0.08899792	-0.08948249	-0.00048457
252	60.4108	23.7430	50.5110	8.905	O	-0.09465037	-0.09316641	0.00148396
253	60.4108	23.7430	51.2110	8.707	O	-0.09707149	-0.09558831	0.00148317
254	60.4108	23.7430	51.9110	8.562	O	-0.09921301	-0.09776168	0.00145132
255	60.4108	23.7430	52.6110	8.472	O	-0.10100335	-0.09961822	0.00138513
256	60.4108	23.7430	53.3110	8.189	H	-0.10237822	-0.10109440	0.00128383
257	60.4108	23.7430	54.0110	7.946	H	-0.10328667	-0.10213701	0.00114966
258	60.4108	23.7430	54.7110	7.759	H	-0.10369623	-0.10270841	0.00098782
259	60.4108	23.7430	55.4110	7.632	H	-0.10359643	-0.10279053	0.00080589
260	60.4108	23.7430	56.1110	7.568	H	-0.10299974	-0.10238683	0.00061291
261	60.4108	23.7430	56.8110	7.568	H	-0.10193992	-0.10152164	0.00041828
262	60.4108	23.7430	57.5110	7.632	H	-0.10046774	-0.10023697	0.00023077
263	60.4108	23.7430	58.2110	7.760	H	-0.09864503	-0.09858734	0.00005769
264	60.4108	23.7430	58.9110	7.947	H	-0.09653842	-0.09663401	-0.00009559
265	60.4108	23.7430	59.6110	8.190	H	-0.09421379	-0.09443968	-0.00022588
266	60.4108	23.7430	60.3110	8.484	H	-0.09173235	-0.09206441	-0.00033206
267	60.4108	23.7430	61.0110	8.823	H	-0.08914828	-0.08956298	-0.00041470
268	61.1108	23.7430	50.5110	8.844	O	-0.09458158	-0.09301739	0.00156419
269	61.1108	23.7430	51.2110	8.644	O	-0.09701664	-0.09544609	0.00157056
270	61.1108	23.7430	51.9110	8.498	O	-0.09917341	-0.09762811	0.00154530
271	61.1108	23.7430	52.6110	8.407	O	-0.10097908	-0.09949431	0.00148478
272	61.1108	23.7430	53.3110	8.294	O	-0.10236779	-0.10097985	0.00138794
273	61.1108	23.7430	54.0110	8.060	H	-0.10328679	-0.10202997	0.00125682
274	61.1108	23.7430	54.7110	7.875	H	-0.10370185	-0.10260533	0.00109652
275	61.1108	23.7430	55.4110	7.750	H	-0.10360107	-0.10268642	0.00091465
276	61.1108	23.7430	56.1110	7.687	H	-0.10299622	-0.10227587	0.00072035
277	61.1108	23.7430	56.8110	7.687	H	-0.10192132	-0.10139811	0.00052322
278	61.1108	23.7430	57.5110	7.750	H	-0.10042839	-0.10009617	0.00033221
279	61.1108	23.7430	58.2110	7.876	H	-0.09858128	-0.09842643	0.00015484
280	61.1108	23.7430	58.9110	8.060	H	-0.09644900	-0.09645238	-0.00000338
281	61.1108	23.7430	59.6110	8.300	H	-0.09409973	-0.09423886	-0.00013913
282	61.1108	23.7430	60.3110	8.590	H	-0.09159650	-0.09184763	-0.00025113
283	61.1108	23.7430	61.0110	8.926	H	-0.08899469	-0.08933452	-0.00033983
284	61.8108	23.7430	50.5110	8.837	O	-0.09412376	-0.09250422	0.00161954
285	61.8108	23.7430	51.2110	8.638	O	-0.09654145	-0.09490984	0.00163161
286	61.8108	23.7430	51.9110	8.491	O	-0.09868448	-0.09707234	0.00161214
287	61.8108	23.7430	52.6110	8.401	O	-0.10048034	-0.09892302	0.00155732
288	61.8108	23.7430	53.3110	8.267	O	-0.10186306	-0.10039719	0.00146587
289	61.8108	23.7430	54.0110	8.106	O	-0.10277940	-0.10143979	0.00133961
290	61.8108	23.7430	54.7110	8.003	O	-0.10319433	-0.10201090	0.00118343
291	61.8108	23.7430	55.4110	7.928	H	-0.10309501	-0.10209026	0.00100475
292	61.8108	23.7430	56.1110	7.866	H	-0.10249241	-0.10167981	0.00081260
293	61.8108	23.7430	56.8110	7.866	H	-0.10142008	-0.10080359	0.00061649
294	61.8108	23.7430	57.5110	7.929	H	-0.09993004	-0.09950468	0.00042536
295	61.8108	23.7430	58.2110	8.051	H	-0.09808657	-0.09783985	0.00024672
296	61.8108	23.7430	58.9110	8.232	H	-0.09595934	-0.09587323	0.00008611
297	61.8108	23.7430	59.6110	8.467	H	-0.09361725	-0.09367027	-0.00005302
298	61.8108	23.7430	60.3110	8.751	H	-0.09112387	-0.09129314	-0.00016927
299	62.5108	23.7430	50.5110	8.886	O	-0.09328259	-0.09163441	0.00164819
300	62.5108	23.7430	51.2110	8.688	O	-0.09565129	-0.09398709	0.00166420
301	62.5108	23.7430	51.9110	8.542	O	-0.09775115	-0.09610172	0.00164943
302	62.5108	23.7430	52.6110	8.452	O	-0.09951149	-0.09791146	0.00160004
303	62.5108	23.7430	53.3110	8.298	O	-0.10086782	-0.09935318	0.00151464
304	62.5108	23.7430	54.0110	8.138	O	-0.10176779	-0.10037299	0.00139481
305	62.5108	23.7430	54.7110	8.036	O	-0.10217666	-0.10093154	0.00124512
306	62.5108	23.7430	55.4110	7.993	O	-0.10208121	-0.10100858	0.00107263
307	62.5108	23.7430	56.1110	8.013	O	-0.10149154	-0.10060555	0.00088599
308	62.5108	23.7430	56.8110	8.092	O	-0.10043999	-0.09974561	0.00069438
309	62.5108	23.7430	57.5110	8.163	H	-0.09897722	-0.09847074	0.00050648
310	62.5108	23.7430	58.2110	8.282	H	-0.09716622	-0.09683660	0.00032963
311	62.5108	23.7430	58.9110	8.458	H	-0.09507554	-0.09490621	0.00016933
312	62.5108	23.7430	59.6110	8.687	H	-0.09277309	-0.09274403	0.00002906
313	62.5108	23.7430	60.3110	8.964	H	-0.09032161	-0.09041124	-0.00008963
314	63.2108	23.7430	50.5110	8.990	O	-0.09207956	-0.09042934	0.00165022
315	63.2108	23.7430	51.2110	8.793	O	-0.09436969	-0.09270136	0.00166833
316	63.2108	23.7430	51.9110	8.650	O	-0.09639876	-0.09474177	0.00165700
317	63.2108	23.7430	52.6110	8.561	O	-0.09809941	-0.09648687	0.00161254
318	63.2108	23.7430	53.3110	8.389	O	-0.09941008	-0.09787654	0.00153354
319	63.2108	23.7430	54.0110	8.230	O	-0.10028070	-0.09885934	0.00142136
