grid_idx	shell	dV	q
356	8.0	+0.000497	-1.0000
357	8.0	-0.000795	+1.0000
359	8.0	-0.000580	+1.0000
360	7.0	-0.000760	+1.0000
361	8.0	-0.000853	+1.0000
362	8.0	-0.001421	+1.0000
363	7.0	-0.001160	+1.0000
364	7.0	+0.001116	-1.0000
365	7.0	+0.001866	-1.0000
366	7.0	-0.000714	+1.0000
367	7.0	+0.000770	-1.0000
368	8.0	+0.000921	-1.0000
369	8.0	-0.000606	+1.0000
370	8.0	-0.001285	+1.0000
372	7.0	-0.001376	+1.0000
373	8.0	+0.001153	-1.0000
374	7.0	+0.000951	-1.0000
375	8.0	+0.001586	-1.0000
376	7.0	+0.001638	-1.0000
377	8.0	+0.000985	-1.0000
378	8.0	+0.000973	-1.0000
379	7.0	-0.000458	+1.0000
380	8.0	-0.000673	+1.0000
381	8.0	+0.001031	-1.0000
382	7.0	-0.000589	+1.0000
383	8.0	-0.000513	+1.0000
384	7.0	-0.000493	+1.0000
385	8.0	-0.000438	+1.0000
388	8.0	-0.000693	+1.0000
389	8.0	+0.001310	-1.0000
394	8.0	+0.000968	-1.0000
396	7.0	+0.000397	-1.0000
397	7.0	-0.000581	+1.0000
398	8.0	-0.000394	+1.0000
399	8.0	+0.001659	-1.0000
401	8.0	-0.001388	+1.0000
402	8.0	-0.001201	+1.0000
403	8.0	-0.000522	+1.0000
404	8.0	+0.001380	-1.0000
406	7.0	-0.000641	+1.0000
409	8.0	+0.000578	-1.0000
411	8.0	-0.001090	+1.0000
412	8.0	-0.000722	+1.0000
413	8.0	-0.001249	+1.0000
414	7.0	-0.001056	+1.0000
415	8.0	-0.000520	+1.0000
416	8.0	+0.000492	-1.0000
418	8.0	+0.001053	-1.0000
419	8.0	-0.000447	+1.0000
422	8.0	-0.001415	+1.0000
423	8.0	-0.001116	+1.0000
424	7.0	+0.001119	-1.0000
426	7.0	-0.000474	+1.0000
427	8.0	+0.001469	-1.0000
428	8.0	-0.000597	+1.0000
434	8.0	+0.001606	-1.0000
435	7.0	+0.001889	-1.0000
437	8.0	+0.001639	-1.0000
440	8.0	-0.000358	+1.0000
441	7.0	-0.001638	+1.0000
442	8.0	-0.001361	+1.0000
443	8.0	+0.001401	-1.0000
445	8.0	-0.000468	+1.0000
446	7.0	-0.000653	+1.0000
447	8.0	-0.000544	+1.0000
449	7.0	-0.000723	+1.0000
451	7.0	+0.000512	-1.0000
452	7.0	+0.002019	-1.0000
453	8.0	+0.000756	-1.0000
454	8.0	-0.000352	+1.0000
455	8.0	+0.000389	-1.0000
456	8.0	-0.000361	+1.0000
457	7.0	+0.000416	-1.0000
458	8.0	-0.000677	+1.0000
459	8.0	+0.000694	-1.0000
462	8.0	-0.000696	+1.0000
463	8.0	+0.001471	-1.0000
464	7.0	-0.001197	+1.0000
465	8.0	-0.000483	+1.0000
466	8.0	+0.001649	-1.0000
467	8.0	-0.001032	+1.0000
468	7.0	-0.000767	+1.0000
469	8.0	+0.000641	-1.0000
471	8.0	+0.000613	-1.0000
472	7.0	-0.000658	+1.0000
474	8.0	-0.000454	+1.0000
475	8.0	-0.000553	+1.0000
476	8.0	+0.000792	-1.0000
477	7.0	+0.001375	-1.0000
480	8.0	-0.000444	+1.0000
481	7.0	+0.001942	-1.0000
482	8.0	-0.001132	+1.0000
483	8.0	+0.000855	-1.0000
485	8.0	+0.000431	-1.0000
486	8.0	-0.001176	+1.0000
487	8.0	-0.000531	+1.0000
489	8.0	-0.001246	+1.0000
491	8.0	+0.001226	-1.0000
492	8.0	-0.000508	+1.0000
493	8.0	+0.001363	-1.0000
494	8.0	-0.001187	+1.0000
495	8.0	+0.000961	-1.0000
499	8.0	-0.001457	+1.0000
500	8.0	-0.000571	+1.0000
501	7.0	+0.001183	-1.0000
505	8.0	+0.001447	-1.0000
506	8.0	+0.001107	-1.0000
507	8.0	+0.001516	-1.0000
508	7.0	+0.001232	-1.0000
509	8.0	-0.000898	+1.0000
510	8.0	-0.000413	+1.0000
511	8.0	+0.001305	-1.0000
512	7.0	-0.000891	+1.0000
515	8.0	+0.000515	-1.0000
516	7.0	+0.001470	-1.0000
517	8.0	+0.000326	-1.0000
518	8.0	-0.000875	+1.0000
519	8.0	-0.000464	+1.0000
520	7.0	+0.000884	-1.0000
521	7.0	-0.000547	+1.0000
522	8.0	+0.001161	-1.0000
524	7.0	-0.000452	+1.0000
525	7.0	-0.000427	+1.0000
526	8.0	-0.001079	+1.0000
527	7.0	+0.000612	-1.0000
529	8.0	+0.001285	-1.0000
530	8.0	+0.001215	-1.0000
531	7.0	-0.000894	+1.0000
532	8.0	-0.001016	+1.0000
534	8.0	-0.000410	+1.0000
536	8.0	+0.001021	-1.0000
537	8.0	-0.001000	+1.0000
538	8.0	-0.000733	+1.0000
539	7.0	+0.001697	-1.0000
540	8.0	-0.000946	+1.0000
541	8.0	+0.001216	-1.0000
542	7.0	+0.001581	-1.0000
545	8.0	+0.001425	-1.0000
546	7.0	-0.000377	+1.0000
547	8.0	-0.000379	+1.0000
549	8.0	+0.001126	-1.0000
550	8.0	+0.000755	-1.0000
551	8.0	+0.000519	-1.0000
552	8.0	+0.000384	-1.0000
553	8.0	-0.000854	+1.0000
555	8.0	-0.000531	+1.0000
556	7.0	+0.001730	-1.0000
557	8.0	+0.000728	-1.0000
558	8.0	-0.000869	+1.0000
559	7.0	+0.000419	-1.0000
560	8.0	+0.000842	-1.0000
561	7.0	+0.001022	-1.0000
562	8.0	-0.000621	+1.0000
563	7.0	-0.000703	+1.0000
564	8.0	+0.000494	-1.0000
565	7.0	+0.000930	-1.0000
566	7.0	-0.000883	+1.0000
567	8.0	+0.001429	-1.0000
570	14.0	-0.000376	+1.0000
571	9.0	+0.001266	-1.0000
572	10.0	-0.000804	+1.0000
573	15.0	+0.000519	-1.0000
574	14.0	-0.000427	+1.0000
575	15.0	-0.000525	+1.0000
577	10.0	-0.000927	+1.0000
580	13.0	-0.000610	+1.0000
581	10.0	-0.000958	+1.0000
583	9.0	-0.000534	+1.0000
586	12.0	+0.000623	-1.0000
587	9.0	+0.000381	-1.0000
588	11.0	+0.000819	-1.0000
590	12.0	-0.000537	+1.0000
591	10.0	+0.000893	-1.0000
593	15.0	+0.000571	-1.0000
594	12.0	+0.000465	-1.0000
595	10.0	-0.000412	+1.0000
596	9.0	-0.000490	+1.0000
597	15.0	+0.000349	-1.0000
598	12.0	-0.000362	+1.0000
601	14.0	-0.000534	+1.0000
602	12.0	-0.000429	+1.0000
604	12.0	+0.000483	-1.0000
606	13.0	+0.000575	-1.0000
610	12.0	+0.000332	-1.0000
611	15.0	-0.000515	+1.0000
613	14.0	-0.000393	+1.0000
615	9.0	+0.001324	-1.0000
617	12.0	-0.000656	+1.0000
619	14.0	-0.000504	+1.0000
620	15.0	+0.000577	-1.0000
621	11.0	-0.000867	+1.0000
625	11.0	+0.000584	-1.0000
627	15.0	+0.000591	-1.0000
628	12.0	+0.000654	-1.0000
629	13.0	-0.000482	+1.0000
631	15.0	-0.000400	+1.0000
633	11.0	+0.000745	-1.0000
634	11.0	+0.000875	-1.0000
